City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,okato,-39.2,173.8833,15.1,87,100,6.26,NZ,1677226118
167,kununurra,-15.7667,128.7333,25.99,94,75,2.06,AU,1677225995
168,port elizabeth,-33.918,25.5701,24.62,78,100,5.66,ZA,1677225808
169,alekseyevskoye,55.3071,50.1135,-13.4,93,90,5.05,RU,1677226118
170,rolla,37.9514,-91.7713,-4.16,73,0,4.12,US,1677225870
171,pinawa,50.1489,-95.8811,-20.18,95,100,1.73,CA,1677226119
172,saint-pierre,-21.3393,55.4781,30.82,62,0,9.26,RE,1677225926
173,port hardy,50.6996,-127.4199,-5.91,54,0,5.09,CA,1677226120
174,donghai,22.9459,115.642,25.24,40,1,3.25,CN,1677226120
175,usinsk,65.9939,57.5281,-12.82,91,100,6.47,RU,1677226121
176,lagoa,39.05,-27.9833,14.37,66,100,9.74,PT,1677225950
177,saskylakh,71.9167,114.0833,-23.53,99,96,1.61,RU,1677225902
178,ancud,-41.8697,-73.8203,10.73,90,77,1.03,CL,1677225899
179,pahrump,36.2083,-115.9839,3.05,67,80,5.81,US,1677225838
180,kavieng,-2.5744,150.7967,28.09,76,98,2.93,PG,1677225857
181,severo-kurilsk,50.6789,156.125,-5.96,63,99,2.07,RU,1677225852
182,zhezkazgan,47.8043,67.7144,-6.01,68,0,6.0,KZ,1677226121
183,sorong,-0.8833,131.25,27.85,75,100,2.75,ID,1677225864
184,san carlos de bariloche,-41.1456,-71.3082,6.86,65,0,2.06,AR,1677225979
185,qasigiannguit,68.8193,-51.1922,-2.86,73,100,3.42,GL,1677225924
186,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1677225837
187,elizabeth city,36.2946,-76.2511,19.01,94,0,4.12,US,1677226054
188,sakakah,29.9697,40.2064,17.12,32,0,0.6,SA,1677226122
189,kondinskoye,59.6481,67.41,-9.79,89,100,4.49,RU,1677226122
190,thalgau,47.8333,13.25,6.11,92,75,3.09,AT,1677226122
191,magadan,59.5667,150.8,-21.01,81,100,2.86,RU,1677226123
192,hambantota,6.1241,81.1185,31.19,66,20,5.14,LK,1677225975
193,bouloupari,-21.8667,166.05,23.95,75,99,1.0,NC,1677226123
194,rawson,-43.3002,-65.1023,18.43,51,0,10.84,AR,1677226052
195,mar del plata,-38.0023,-57.5575,20.05,82,0,0.89,AR,1677226123
196,sydney,-33.8679,151.2073,24.31,62,2,5.66,AU,1677225888
197,tabou,4.423,-7.3528,26.83,87,100,2.69,CI,1677226124
198,chapaevsk,52.9813,49.7112,-11.76,90,52,4.44,RU,1677226124
199,nara,34.6851,135.8049,7.17,72,100,1.45,JP,1677225919
200,clyde river,70.4692,-68.5914,-28.87,76,100,13.38,CA,1677225958
201,velyka oleksandrivka,47.3197,33.3037,0.28,41,91,6.47,UA,1677226125
202,nanortalik,60.1432,-45.2371,-1.46,98,100,3.82,GL,1677225890
203,novikovo,51.1537,37.8879,-6.35,82,100,6.16,RU,1677226125
204,muncar,-8.4333,114.3333,26.18,89,100,2.97,ID,1677226126
205,sulmona,42.0479,13.9291,11.9,72,100,1.81,IT,1677226126
206,contamana,-7.3333,-75.0167,21.01,92,92,1.04,PE,1677226126
207,khatanga,71.9667,102.5,-26.07,100,100,2.04,RU,1677225853
208,salalah,17.0151,54.0924,25.14,47,23,3.83,OM,1677226355
209,iqaluit,63.7506,-68.5145,-32.95,74,100,10.29,CA,1677225923
